Entity,Year,all years
World,1950,1241431601
World,1951,1263362446
World,1952,1287092892
World,1953,1312354703
World,1954,1338531099
World,1955,1365978557
World,1956,1393816172
World,1957,1422613656
World,1958,1452095666
World,1959,1479588628
World,1960,1504457052
World,1961,1529294760
World,1962,1558850123
World,1963,1594017144
World,1964,1630340338
World,1965,1665744624
World,1966,1700736945
World,1967,1735617516
World,1968,1771695325
World,1969,1809130797
World,1970,1847018733
World,1971,1884860197
World,1972,1922849474
World,1973,1961394967
World,1974,1999750636
World,1975,2037387445
World,1976,2074547723
World,1977,2111747483
World,1978,2149212412
World,1979,2187839996
World,1980,2227983007
World,1981,2269261502
World,1982,2311808953
World,1983,2354687033
World,1984,2397608630
World,1985,2441487148
World,1986,2486672540
World,1987,2533270618
World,1988,2580078934
World,1989,2627004858
World,1990,2674705152
World,1991,2721136951
World,1992,2765446631
World,1993,2809183816
World,1994,2851674845
World,1995,2893335591
World,1996,2935092341
World,1997,2976690474
World,1998,3018500995
World,1999,3060197613
World,2000,3102257586
World,2001,3144578511
World,2002,3186517514
World,2003,3228410492
World,2004,3270593511
World,2005,3312999712
World,2006,3355912822
World,2007,3399561227
World,2008,3443714228
World,2009,3488236497
World,2010,3533138490
World,2011,3578458606
World,2012,3624479696
World,2013,3670601278
World,2014,3716191318
World,2015,3761327160
World,2016,3805832144
World,2017,3849385463
World,2018,3891359050
World,2019,3931909043
World,2020,3969228985
World,2021,4002148130
World,2022,4035007868
World,2023,4069351846
