Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Africa (UN),,1950,355,16045,140991,336785,348927,290451,281583,302780,337407,296834,3774076
Africa (UN),,1951,358,15325,142334,339611,351098,293711,283502,304621,338784,296432,3774693
Africa (UN),,1952,359,14873,143802,343348,354046,297461,285843,307512,341426,296788,3785846
Africa (UN),,1953,345,14662,145273,347325,357304,301191,288072,309920,343149,297335,3801742
Africa (UN),,1954,313,14710,147039,351608,361856,306665,293018,316662,352454,300156,3818500
Africa (UN),,1955,274,14933,148981,355500,366198,310345,295209,318805,353422,301440,3835509
Africa (UN),,1956,266,15197,151212,359507,371374,314430,298175,322114,355860,303756,3852698
Africa (UN),,1957,272,15573,155074,367877,383076,324287,306246,329713,362330,315655,3958255
Africa (UN),,1958,270,15776,157566,371803,389061,328690,309867,333913,365551,319496,3974759
Africa (UN),,1959,257,15854,158831,371970,389163,326461,307184,331281,361216,311965,3904896
Africa (UN),,1960,252,16321,162278,378313,398189,333856,315197,341706,374098,319168,3936777
Africa (UN),,1961,264,16807,165586,383982,405214,338089,319546,345964,378313,321861,3962919
Africa (UN),,1962,288,17552,170134,392245,412452,340611,319652,343022,371040,323808,4002746
Africa (UN),,1963,308,18215,174553,400645,419209,343370,321001,341677,366453,325268,4038093
Africa (UN),,1964,329,18901,179329,410027,426997,347781,324989,344368,369719,328187,4069900
Africa (UN),,1965,358,19653,184382,420534,435831,353565,330548,349135,376134,333715,4113828
Africa (UN),,1966,375,20385,189841,432405,446509,361260,337790,355149,383648,341954,4190142
Africa (UN),,1967,386,21064,194441,441372,455535,368397,346646,365592,400161,348094,4201974
Africa (UN),,1968,400,21728,198356,447573,459971,370179,347820,364915,399435,350356,4226265
Africa (UN),,1969,411,22444,203453,457492,469567,377302,354464,370388,407044,358781,4274808
Africa (UN),,1970,417,23042,208048,466022,476481,380768,354915,366300,401209,362098,4314588
Africa (UN),,1971,412,23487,212253,474777,483869,386070,357910,365900,401451,367009,4354245
Africa (UN),,1972,392,23732,216437,485460,494818,397072,368125,376366,416607,385675,4422620
Africa (UN),,1973,389,24051,219837,493075,499136,399352,366504,369991,409683,381336,4433014
Africa (UN),,1974,400,24754,224988,504833,509512,407369,369342,369246,409052,384416,4509843
Africa (UN),,1975,415,25434,229884,515215,517746,414652,373400,372960,414231,391300,4542031
Africa (UN),,1976,422,25981,234055,523203,523632,418737,373895,374070,417524,390356,4497006
Africa (UN),,1977,409,26351,238892,534053,532722,425432,375866,375440,419776,393154,4515573
Africa (UN),,1978,409,27303,245747,546954,543254,433801,379688,379381,428402,397278,4535442
Africa (UN),,1979,475,29051,253326,558757,552928,440514,381287,380725,431023,399906,4549435
Africa (UN),,1980,531,30522,260884,569616,562323,446820,382981,383880,435848,403386,4575692
Africa (UN),,1981,600,31701,267295,579306,571229,452598,385529,388530,441642,408114,4598768
