Entity,Year,all years
World,1950,1251661150
World,1951,1273564491
World,1952,1296993344
World,1953,1321751435
World,1954,1347363662
World,1955,1374235124
World,1956,1401593733
World,1957,1430004567
World,1958,1459153909
World,1959,1486361625
World,1960,1511013744
World,1961,1535574813
World,1962,1564524102
World,1963,1598790586
World,1964,1634146895
World,1965,1668788974
World,1966,1703304079
World,1967,1737795280
World,1968,1773491824
World,1969,1810360693
World,1970,1847664952
World,1971,1884987565
World,1972,1922068103
World,1973,1959409980
World,1974,1996665382
World,1975,2033347718
World,1976,2069698544
World,1977,2106116203
World,1978,2142885014
World,1979,2180699412
World,1980,2219623134
World,1981,2259515708
World,1982,2300864373
World,1983,2342640440
World,1984,2384566805
World,1985,2427456210
World,1986,2471400212
World,1987,2516475704
World,1988,2561913482
World,1989,2607426798
World,1990,2653097878
World,1991,2697598837
World,1992,2740543082
World,1993,2782360879
World,1994,2823876315
World,1995,2865543292
World,1996,2906963301
World,1997,2948097246
World,1998,2988565579
World,1999,3028808593
World,2000,3069445312
World,2001,3110357843
World,2002,3151212723
World,2003,3191951034
World,2004,3232784157
World,2005,3273970310
World,2006,3315539071
World,2007,3357747470
World,2008,3400743325
World,2009,3444529803
World,2010,3488593556
World,2011,3532465045
World,2012,3576722717
World,2013,3621192195
World,2014,3665424827
World,2015,3709164608
World,2016,3752722279
World,2017,3796232415
World,2018,3838543650
World,2019,3879384588
World,2020,3917772226
World,2021,3952300173
World,2022,3986399218
World,2023,4022382946
