Entity,Year,all years
World,1999,3060197613
World,2000,3102257586
World,2001,3144578511
World,2002,3186517514
World,2003,3228410492
World,2004,3270593511
World,2005,3312999712
World,2006,3355912822
World,2007,3399561227
World,2008,3443714228
World,2009,3488236497
World,2010,3533138490
World,2011,3578458606
World,2012,3624479696
World,2013,3670601278
World,2014,3716191318
World,2015,3761327160
World,2016,3805832144
World,2017,3849385463
World,2018,3891359050
World,2019,3931909043
World,2020,3969228985
World,2021,4002148130
World,2022,4035007868
World,2023,4069351846
