Entity,Code,Year,Population (historical)
Africa,,1700,79472542
Africa,,1710,78950470
Africa,,1720,79203558
Africa,,1730,79520498
Africa,,1740,79902000
Africa,,1750,80349715
Africa,,1760,80866461
Africa,,1770,81456617
Africa,,1780,82126790
Africa,,1785,82381934
Africa,,1788,82637079
Africa,,1790,82892223
Africa,,1800,81273172
Africa,,1801,81378197
Africa,,1802,81484588
Africa,,1803,81592351
Africa,,1804,81701503
Africa,,1805,81812061
Africa,,1806,81924029
Africa,,1807,82037425
Africa,,1808,82152271
Africa,,1809,82268577
Africa,,1810,82387585
Africa,,1811,82515959
Africa,,1812,82655601
Africa,,1813,82806647
Africa,,1814,82969493
Africa,,1815,83144278
Africa,,1816,83331163
Africa,,1817,83530303
Africa,,1818,83741849
Africa,,1819,84037482
Africa,,1820,84418699
Africa,,1821,84896601
Africa,,1822,85462636
Africa,,1823,86142885
Africa,,1824,86843609
Africa,,1825,87565137
Africa,,1826,88307785
Africa,,1827,89071893
Africa,,1828,89857801
Africa,,1829,90666142
Africa,,1830,91497291
Africa,,1831,92352331
Africa,,1832,93221742
Africa,,1833,94105808
Africa,,1834,95004472
Africa,,1835,95918027
Africa,,1836,96846733
Africa,,1837,97790863
Africa,,1838,98750710
Africa,,1839,99745866
Africa,,1840,100777177
Africa,,1841,101844538
Africa,,1842,102949818
Africa,,1843,104093942
Africa,,1844,105258529
Africa,,1845,106444013
Africa,,1846,107650802
Africa,,1847,108879329
Africa,,1848,110130035
Africa,,1849,111271621
Africa,,1850,112301163
Africa,,1851,112964625
Africa,,1852,113506374
Africa,,1853,113925748
Africa,,1854,114348862
Africa,,1855,114775726
Africa,,1856,115206465
Africa,,1857,115641146
Africa,,1858,116079843
Africa,,1859,116531294
Africa,,1860,116995450
Africa,,1861,117468679
Africa,,1862,117954363
Africa,,1863,118452604
Africa,,1864,118954681
Africa,,1865,119460616
Africa,,1866,119970440
Africa,,1867,120484192
Africa,,1868,121001894
Africa,,1869,121535848
Africa,,1870,122086255
Africa,,1871,122649582
Africa,,1872,123231396
Africa,,1873,123830278
Africa,,1874,124434132
Africa,,1875,125042995
Africa,,1876,125656913
Africa,,1877,126275921
Africa,,1878,126900066
Africa,,1879,127539564
Africa,,1880,128194527
Africa,,1881,128863890
Africa,,1882,129548955
Africa,,1883,130249836
Africa,,1884,130956522
Africa,,1885,131669056
Africa,,1886,132387485
Africa,,1887,133111879
Africa,,1888,133842280
Africa,,1889,134489847
Africa,,1890,135054738
Africa,,1891,135539040
Africa,,1892,135941070
Africa,,1893,136260909
Africa,,1894,136587590
Africa,,1895,136921163
Africa,,1896,137261683
Africa,,1897,137609187
Africa,,1898,137963724
Africa,,1899,138345391
Africa,,1900,138755559
Africa,,1901,139195205
Africa,,1902,139666271
Africa,,1903,140170120
Africa,,1904,140688001
Africa,,1905,141220048
Africa,,1906,141766391
Africa,,1907,142327180
Africa,,1908,142902543
Africa,,1909,143483346
Africa,,1910,144068383
Africa,,1911,144655670
Africa,,1912,145245400
Africa,,1913,145835662
Africa,,1914,146434524
Africa,,1915,147042086
Africa,,1916,147658424
